game,team,side,inning,half,run_diff,pid,pitches,endurance,toast,budget_remaining,budget_pct,max_budget,home_team,away_team,home_score,away_score
2025-04-03,away,away,2,top,0,p-away-2,48,79,3.0,98.2,0.7,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,52,79,1.0,94.2,0.6,146.2,home,away,4,6
2025-04-03,away,away,2,top,0,p-away-2,56,79,-2.0,90.2,0.6,146.2,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,36,66,10.0,86.1,0.7,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,41,66,11.0,81.1,0.7,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,48,66,10.0,74.1,0.6,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,53,66,8.0,69.1,0.6,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,58,66,5.0,64.1,0.5,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,0,p-home-2,64,66,2.0,58.1,0.5,122.1,home,away,4,6
2025-04-03,home,home,3,bottom,1,p-home-2,73,66,-3.0,49.1,0.4,122.1,home,away,4,6
2025-04-03,away,away,3,top,-2,p-away-2,60,79,3.0,86.2,0.6,146.2,home,away,4,6
2025-04-03,away,away,3,top,-2,p-away-2,63,79,4.0,83.2,0.6,146.2,home,away,4,6
2025-04-03,away,away,3,top,-2,p-away-2,71,79,4.0,75.2,0.5,146.2,home,away,4,6
2025-04-04,home,home,1,bottom,0,p-home-3,0,99,0.0,183.2,1.0,183.2,home,away,3,6
2025-04-04,home,home,1,bottom,0,p-home-3,5,99,1.0,178.2,1.0,183.2,home,away,3,6
2025-04-04,home,home,1,bottom,0,p-home-3,9,99,-1.0,174.2,1.0,183.2,home,away,3,6
2025-04-04,home,home,1,bottom,0,p-home-3,16,99,-2.0,167.2,0.9,183.2,home,away,3,6
2025-04-04,home,home,1,bottom,0,p-home-3,21,99,-1.0,162.2,0.9,183.2,home,away,3,6
2025-04-04,away,away,1,top,0,p-away-3,0,61,0.0,112.9,1.0,112.9,home,away,3,6
2025-04-04,away,away,1,top,0,p-away-3,7,61,-2.0,105.9,0.9,112.9,home,away,3,6
2025-04-04,away,away,1,top,0,p-away-3,10,61,-3.0,102.9,0.9,112.9,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,27,99,0.0,156.2,0.9,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,31,99,1.0,152.2,0.8,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,36,99,-1.0,147.2,0.8,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,44,99,-2.0,139.2,0.8,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,47,99,-4.0,136.2,0.7,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,0,p-home-3,55,99,-1.0,128.2,0.7,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,1,p-home-3,64,99,-7.0,119.2,0.7,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,1,p-home-3,68,99,-7.0,115.2,0.6,183.2,home,away,3,6
2025-04-04,home,home,2,bottom,1,p-home-3,72,99,-9.0,111.2,0.6,183.2,home,away,3,6
2025-04-04,away,away,2,top,-1,p-away-3,15,61,0.0,97.9,0.9,112.9,home,away,3,6
2025-04-04,away,away,2,top,-1,p-away-3,19,61,-2.0,93.9,0.8,112.9,home,away,3,6
2025-04-04,away,away,2,top,-1,p-away-3,27,61,1.0,85.9,0.8,112.9,home,away,3,6
2025-04-04,away,away,2,top,-1,p-away-3,32,61,2.0,80.9,0.7,112.9,home,away,3,6
2025-04-04,away,away,2,top,0,p-away-3,37,61,-4.0,75.9,0.7,112.9,home,away,3,6
2025-04-04,home,home,3,bottom,0,p-home-3,76,99,-6.0,107.2,0.6,183.2,home,away,3,6
2025-04-04,home,home,3,bottom,0,p-home-3,80,99,-5.0,103.2,0.6,183.2,home,away,3,6
2025-04-04,away,away,3,top,-2,p-away-3,41,61,1.0,71.9,0.6,112.9,home,away,3,6
2025-04-04,away,away,3,top,-2,p-away-3,48,61,-1.0,64.9,0.6,112.9,home,away,3,6
2025-04-04,away,away,3,top,-2,p-away-3,52,61,-4.0,60.9,0.5,112.9,home,away,3,6
2025-04-04,away,away,3,top,-2,p-away-3,59,61,-5.0,53.9,0.5,112.9,home,away,3,6
2025-04-04,away,away,3,top,-1,p-away-3,65,61,-11.0,47.9,0.4,112.9,home,away,3,6
2025-04-05,home,home,1,bottom,0,p-home-4,0,89,0.0,164.7,1.0,164.7,home,away,4,6
2025-04-05,home,home,1,bottom,0,p-home-4,4,89,-2.0,160.7,1.0,164.7,home,away,4,6
2025-04-05,home,home,1,bottom,0,p-home-4,8,89,-2.0,156.7,1.0,164.7,home,away,4,6
2025-04-05,home,home,1,bottom,0,p-home-4,12,89,-1.0,152.7,0.9,164.7,home,away,4,6
2025-04-05,home,home,1,bottom,0,p-home-4,19,89,-1.0,145.7,0.9,164.7,home,away,4,6
2025-04-05,home,home,1,bottom,0,p-home-4,23,89,0.0,141.7,0.9,164.7,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,0,99,0.0,183.2,1.0,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,4,99,-2.0,179.2,1.0,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,8,99,-3.0,175.2,1.0,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,12,99,-5.0,171.2,0.9,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,17,99,-5.0,166.2,0.9,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,21,99,-5.0,162.2,0.9,183.2,home,away,4,6
2025-04-05,away,away,1,top,0,p-away-4,27,99,-7.0,156.2,0.9,183.2,home,away,4,6
2025-04-05,home,home,2,bottom,0,p-home-4,30,89,1.0,134.7,0.8,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,0,p-home-4,38,89,0.0,126.7,0.8,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,0,p-home-4,42,89,-2.0,122.7,0.7,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,0,p-home-4,46,89,-5.0,118.7,0.7,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,1,p-home-4,53,89,-9.0,111.7,0.7,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,1,p-home-4,58,89,-11.0,106.7,0.6,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,1,p-home-4,67,89,-14.0,97.7,0.6,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,2,p-home-4,72,89,-21.0,92.7,0.6,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,2,p-home-4,78,89,-22.0,86.7,0.5,164.7,home,away,4,6
2025-04-05,home,home,2,bottom,3,p-home-4,86,89,-27.0,78.7,0.5,164.7,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,34,99,6.0,149.2,0.8,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,38,99,4.0,145.2,0.8,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,43,99,5.0,140.2,0.8,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,49,99,3.0,134.2,0.7,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,54,99,4.0,129.2,0.7,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,62,99,3.0,121.2,0.7,183.2,home,away,4,6
2025-04-05,away,away,2,top,-5,p-away-4,67,99,1.0,116.2,0.6,183.2,home,away,4,6
2025-04-05,away,away,3,top,-5,p-away-4,71,99,2.0,112.2,0.6,183.2,home,away,4,6
2025-04-05,away,away,3,top,-5,p-away-4,75,99,2.0,108.2,0.6,183.2,home,away,4,6
2025-04-05,away,away,3,top,-5,p-away-4,79,99,3.0,104.2,0.6,183.2,home,away,4,6
2025-04-05,away,away,3,top,-5,p-away-4,87,99,3.0,96.2,0.5,183.2,home,away,4,6
2025-04-06,home,home,1,bottom,0,p-home-5,0,99,0.0,183.2,1.0,183.2,home,away,7,5
2025-04-06,home,home,1,bottom,0,p-home-5,9,99,3.0,174.2,1.0,183.2,home,away,7,5
2025-04-06,home,home,1,bottom,0,p-home-5,13,99,3.0,170.2,0.9,183.2,home,away,7,5
2025-04-06,home,home,1,bottom,0,p-home-5,22,99,2.0,161.2,0.9,183.2,home,away,7,5
2025-04-06,home,home,1,bottom,0,p-home-5,31,99,5.0,152.2,0.8,183.2,home,away,7,5
2025-04-06,home,home,1,bottom,0,p-home-5,35,99,3.0,148.2,0.8,183.2,home,away,7,5
2025-04-06,away,away,1,top,0,p-away-5,0,78,0.0,144.3,1.0,144.3,home,away,7,5
2025-04-06,away,away,1,top,0,p-away-5,3,78,3.0,141.3,1.0,144.3,home,away,7,5
2025-04-06,away,away,1,top,0,p-away-5,7,78,4.0,137.3,1.0,144.3,home,away,7,5
2025-04-06,away,away,1,top,0,p-away-5,13,78,2.0,131.3,0.9,144.3,home,away,7,5
2025-04-06,home,home,2,bottom,0,p-home-5,40,99,4.0,143.2,0.8,183.2,home,away,7,5
2025-04-06,home,home,2,bottom,0,p-home-5,45,99,5.0,138.2,0.8,183.2,home,away,7,5
2025-04-06,home,home,2,bottom,0,p-home-5,53,99,8.0,130.2,0.7,183.2,home,away,7,5
2025-04-06,away,away,2,top,0,p-away-5,21,78,5.0,123.3,0.9,144.3,home,away,7,5
2025-04-06,away,away,2,top,0,p-away-5,25,78,6.0,119.3,0.8,144.3,home,away,7,5
2025-04-06,away,away,2,top,0,p-away-5,31,78,7.0,113.3,0.8,144.3,home,away,7,5
2025-04-06,away,away,2,top,0,p-away-5,36,78,7.0,108.3,0.8,144.3,home,away,7,5
2025-04-06,home,home,3,bottom,0,p-home-5,58,99,12.0,125.2,0.7,183.2,home,away,7,5
2025-04-06,home,home,3,bottom,0,p-home-5,63,99,13.0,120.2,0.7,183.2,home,away,7,5
2025-04-06,home,home,3,bottom,0,p-home-5,69,99,14.0,114.2,0.6,183.2,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,45,78,13.0,99.3,0.7,144.3,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,53,78,12.0,91.3,0.6,144.3,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,56,78,10.0,88.3,0.6,144.3,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,64,78,13.0,80.3,0.6,144.3,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,69,78,13.0,75.3,0.5,144.3,home,away,7,5
2025-04-06,away,away,3,top,0,p-away-5,75,78,11.0,69.3,0.5,144.3,home,away,7,5
2025-04-06,home,home,4,bottom,0,p-home-5,75,99,18.0,108.2,0.6,183.2,home,away,7,5
2025-04-06,home,home,4,bottom,0,p-home-5,79,99,18.0,104.2,0.6,183.2,home,away,7,5
2025-04-06,home,home,4,bottom,0,p-home-5,85,99,19.0,98.2,0.5,183.2,home,away,7,5
2025-04-07,home,home,1,bottom,0,p-home-6,0,81,0.0,149.8,1.0,149.8,home,away,1,2
2025-04-07,home,home,1,bottom,0,p-home-6,4,81,-2.0,145.8,1.0,149.8,home,away,1,2
2025-04-07,home,home,1,bottom,0,p-home-6,8,81,-5.0,141.8,0.9,149.8,home,away,1,2
2025-04-07,home,home,1,bottom,0,p-home-6,12,81,-4.0,137.8,0.9,149.8,home,away,1,2
2025-04-07,home,home,1,bottom,0,p-home-6,20,81,-1.0,129.8,0.9,149.8,home,away,1,2
2025-04-07,away,away,1,top,0,p-away-6,0,80,0.0,148.0,1.0,148.0,home,away,1,2
2025-04-07,away,away,1,top,0,p-away-6,3,80,-2.0,145.0,1.0,148.0,home,away,1,2
2025-04-07,away,away,1,top,0,p-away-6,11,80,1.0,137.0,0.9,148.0,home,away,1,2
2025-04-07,away,away,1,top,0,p-away-6,15,80,2.0,133.0,0.9,148.0,home,away,1,2
2025-04-07,home,home,2,bottom,0,p-home-6,25,81,0.0,124.8,0.8,149.8,home,away,1,2
2025-04-07,home,home,2,bottom,0,p-home-6,29,81,1.0,120.8,0.8,149.8,home,away,1,2
2025-04-07,home,home,2,bottom,0,p-home-6,33,81,2.0,116.8,0.8,149.8,home,away,1,2
2025-04-07,home,home,2,bottom,0,p-home-6,39,81,0.0,110.8,0.7,149.8,home,away,1,2
2025-04-07,away,away,2,top,0,p-away-6,19,80,3.0,129.0,0.9,148.0,home,away,1,2
2025-04-07,away,away,2,top,0,p-away-6,26,80,4.0,122.0,0.8,148.0,home,away,1,2
2025-04-07,away,away,2,top,0,p-away-6,34,80,7.0,114.0,0.8,148.0,home,away,1,2
2025-04-07,home,home,3,bottom,0,p-home-6,47,81,3.0,102.8,0.7,149.8,home,away,1,2
2025-04-07,home,home,3,bottom,0,p-home-6,51,81,1.0,98.8,0.7,149.8,home,away,1,2
2025-04-07,home,home,3,bottom,0,p-home-6,55,81,1.0,94.8,0.6,149.8,home,away,1,2
2025-04-07,home,home,3,bottom,0,p-home-6,58,81,2.0,91.8,0.6,149.8,home,away,1,2
2025-04-07,home,home,3,bottom,0,p-home-6,62,81,3.0,87.8,0.6,149.8,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,39,80,11.0,109.0,0.7,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,44,80,11.0,104.0,0.7,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,49,80,12.0,99.0,0.7,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,54,80,12.0,94.0,0.6,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,59,80,10.0,89.0,0.6,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,66,80,10.0,82.0,0.6,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,74,80,8.0,74.0,0.5,148.0,home,away,1,2
2025-04-07,away,away,3,top,0,p-away-6,81,80,5.0,67.0,0.5,148.0,home,away,1,2
2025-04-07,home,home,4,bottom,-1,p-home-6,66,81,5.0,83.8,0.6,149.8,home,away,1,2
2025-04-08,home,home,1,bottom,0,p-home-7,0,99,0.0,183.2,1.0,183.2,home,away,1,4
2025-04-08,home,home,1,bottom,0,p-home-7,4,99,0.0,179.2,1.0,183.2,home,away,1,4
2025-04-08,home,home,1,bottom,0,p-home-7,10,99,-2.0,173.2,0.9,183.2,home,away,1,4
2025-04-08,home,home,1,bottom,0,p-home-7,15,99,-1.0,168.2,0.9,183.2,home,away,1,4
2025-04-08,home,home,1,bottom,0,p-home-7,20,99,-1.0,163.2,0.9,183.2,home,away,1,4
2025-04-08,home,home,1,bottom,0,p-home-7,25,99,0.0,158.2,0.9,183.2,home,away,1,4
2025-04-08,away,away,1,top,0,p-away-7,0,93,0.0,172.1,1.0,172.1,home,away,1,4
2025-04-08,away,away,1,top,0,p-away-7,4,93,1.0,168.1,1.0,172.1,home,away,1,4
2025-04-08,away,away,1,top,0,p-away-7,9,93,2.0,163.1,0.9,172.1,home,away,1,4
2025-04-08,away,away,1,top,0,p-away-7,14,93,2.0,158.1,0.9,172.1,home,away,1,4
2025-04-08,away,away,1,top,0,p-away-7,21,93,0.0,151.1,0.9,172.1,home,away,1,4
2025-04-08,home,home,2,bottom,0,p-home-7,30,99,1.0,153.2,0.8,183.2,home,away,1,4
2025-04-08,home,home,2,bottom,0,p-home-7,37,99,0.0,146.2,0.8,183.2,home,away,1,4
2025-04-08,home,home,2,bottom,0,p-home-7,41,99,1.0,142.2,0.8,183.2,home,away,1,4
2025-04-08,home,home,2,bottom,0,p-home-7,45,99,2.0,138.2,0.8,183.2,home,away,1,4
2025-04-08,home,home,2,bottom,0,p-home-7,49,99,0.0,134.2,0.7,183.2,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,30,93,3.0,142.1,0.8,172.1,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,35,93,1.0,137.1,0.8,172.1,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,41,93,-2.0,131.1,0.8,172.1,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,47,93,-2.0,125.1,0.7,172.1,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,51,93,-1.0,121.1,0.7,172.1,home,away,1,4
2025-04-08,away,away,2,top,0,p-away-7,59,93,2.0,113.1,0.7,172.1,home,away,1,4
2025-04-08,home,home,3,bottom,0,p-home-7,56,99,1.0,127.2,0.7,183.2,home,away,1,4
2025-04-08,home,home,3,bottom,0,p-home-7,60,99,2.0,123.2,0.7,183.2,home,away,1,4
2025-04-08,home,home,3,bottom,0,p-home-7,63,99,3.0,120.2,0.7,183.2,home,away,1,4
2025-04-08,home,home,3,bottom,0,p-home-7,69,99,3.0,114.2,0.6,183.2,home,away,1,4
2025-04-08,home,home,3,bottom,1,p-home-7,74,99,-3.0,109.2,0.6,183.2,home,away,1,4
2025-04-08,home,home,3,bottom,1,p-home-7,79,99,-3.0,104.2,0.6,183.2,home,away,1,4
2025-04-08,away,away,3,top,-1,p-away-7,62,93,5.0,110.1,0.6,172.1,home,away,1,4
2025-04-08,away,away,3,top,-1,p-away-7,66,93,3.0,106.1,0.6,172.1,home,away,1,4
2025-04-08,away,away,3,top,-1,p-away-7,75,93,2.0,97.1,0.6,172.1,home,away,1,4
2025-04-08,away,away,3,top,-1,p-away-7,79,93,0.0,93.1,0.5,172.1,home,away,1,4
2025-04-08,away,away,3,top,-1,p-away-7,84,93,-3.0,88.1,0.5,172.1,home,away,1,4
2025-04-09,home,home,1,bottom,0,p-home-8,0,79,0.0,146.2,1.0,146.2,home,away,7,4
2025-04-09,home,home,1,bottom,0,p-home-8,5,79,0.0,141.2,1.0,146.2,home,away,7,4
2025-04-09,home,home,1,bottom,0,p-home-8,12,79,3.0,134.2,0.9,146.2,home,away,7,4
2025-04-09,home,home,1,bottom,0,p-home-8,20,79,6.0,126.2,0.9,146.2,home,away,7,4
2025-04-09,home,home,1,bottom,0,p-home-8,25,79,6.0,121.2,0.8,146.2,home,away,7,4
2025-04-09,home,home,1,bottom,0,p-home-8,28,79,6.0,118.2,0.8,146.2,home,away,7,4
2025-04-09,away,away,1,top,0,p-away-8,0,79,0.0,146.2,1.0,146.2,home,away,7,4
2025-04-09,away,away,1,top,0,p-away-8,9,79,3.0,137.2,0.9,146.2,home,away,7,4
2025-04-09,away,away,1,top,0,p-away-8,15,79,4.0,131.2,0.9,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,32,79,10.0,114.2,0.8,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,40,79,9.0,106.2,0.7,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,44,79,7.0,102.2,0.7,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,49,79,4.0,97.2,0.7,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,55,79,5.0,91.2,0.6,146.2,home,away,7,4
2025-04-09,home,home,2,bottom,0,p-home-8,60,79,6.0,86.2,0.6,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,22,79,10.0,124.2,0.8,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,26,79,11.0,120.2,0.8,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,30,79,9.0,116.2,0.8,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,35,79,6.0,111.2,0.8,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,39,79,7.0,107.2,0.7,146.2,home,away,7,4
2025-04-09,away,away,2,top,0,p-away-8,44,79,5.0,102.2,0.7,146.2,home,away,7,4
2025-04-09,home,home,3,bottom,0,p-home-8,64,79,7.0,82.2,0.6,146.2,home,away,7,4
